city,state,date,lCCN,text,title
['Washington'],['District of Columbia'],19500602,sn83045462,"Lucky Dad on June 18...lucky you now
• With Father's Day coming up, fine DuPont nylon shirts at far less
than the usual price.
• Wonderful for dads who travel, for vacation trips, for saving time and
work at home ... because nylon washes and dries so quickly, needs no
ironing.
• Soft, slotted collar with stays may be worn with or without ties. Barrel
cuffs. Ocean pearl buttons.
• Sizes 14 to 17 in white.
• Individually wrapped in Cellophane.
WBL—North Building . . . Thu Mon's Shop, First Floor
New Rave—""Coolie""
headturner in straw
Shown here is just one of the many engaging
variations on the ""coolie"" theme. This in ^ _
white toyo straw with veil in a choice of nI ^
colors. Others in our coolie collection: Mu
Piques, $1.95 Lacy Straws, $3.95 ***■
Royon Velvets, $2.95
WAL—North Building . . . Millinery, Second Floor
. ^ J
""Bacmo"" Nylons
shirred 8-button length
Popular new length with elasticized shir
ring for a softly crushed effect. Sheer
nylon that dries in a trice ... in white.
W&L—North Building . . . Gloves, Aisle 9, First Floor
wonder-priced for half-size wardrobes
Summer's most flourishing fashion . . . a-i-r-y voiles that beckon every
breeze, underscore your femininity. And a fashion likely to grow in your sum
mer wardrobe when you see our collection of ""Westover"" voiles Tebilized to
resist creases, Sanforized to keep shrinkage less than 1 % . . . and wonder
priced to bring your budget good news. Three calculated to keep you looking
your coolest and prettiest, left to right—Scooped-neckline Print in pink, blue,
oqua and white. Sizes 14 Vi to 22Vi. Organdy-frosted Print in pink, blue,
aqua and toast. Sizes 14Vi to 241/2. Pea-dot Cooler in brown, green, navy
and gray. Sizes 14Vi to 22Vi.
W4JL—North ImUimg . . . Wmm'i Dnmm, ThH MMr
1",Evening star. [volume]
['Roanoke Rapids'],['North Carolina'],19351024,2017236974,"Scenes and Persons in the Current News
„ „li!”!""1,""niS!S in Mexico C’ity tearing the Nazi swastika flag from its mast at tlie German consulate.
2 Castle in Gondar, Ethiopia, capital of Amhara province, where heavy concentration of Ethiopian troops
was reported ready to check the Italian advance. 3—Ethiopian natives sending out messages over the coun
try by means of the war drums.
Workers Protest “Coolie” Wages
White collar WPA workers in Philadelphia donned coolie hats and
pigtails and marched through the streets in protest against what they
termed coolie wages which were being paid them on relief projects
in the city.
Highway Bridge at Grand Coulee Dam
ONE of the first units completed In the construction of the Grand
Coulee dam project was the erection of his highway bridge across
the Columbia river in Washington.
His Old Car Still Fills the Bill
^. x . ^ ^ 'VBSSSaiM*** -mm 'luuuuimuu.......
J. L. Wilson-of Ellensburg, Wash., claims his 1904 Brush automobile
Is the oldest motor vehicle in use in the country. For 31 years this faith
ful gas wagon hag done the daily chores.
Germany Is Producing Good Submarines
Photograph of the U-l, first of a series of new modern submarines whose construction has been an
nounced by Germany as part of the plan for re-arming the reich. The vessel was successfully tested at Kiel
CHEROKEE CHAMPION I
Winnie .Johnson, fourteen months
old, shown here riding on the back
of her mother in typical Cherokee
fashion, was judged the grand cham
pion of the baby show that featured
the annual Cherokee Indian festival
held recently at Cherokee, N. C.
Citizenship in Canada
Any British subject who has beer,
domiciled for five years in Canada
is considered by Canadian law to
be a Canadian citizen. No natural
ization is required in such cases.
FLUSSER LAUNCHED I
The Flusser, one of the navy’s 16
new l,500rton destroyers, is shown
here sliding down the ways after
being launched at the Federal Ship
building company yards at Kearney,
N. J. The vessel was named in
honor of Lieutenant Commander
Charles W. Flusser, who was killed
in 1864, when his ship, the Miami,
engaged the Confederate ironclad
Albemarle.
HEADS WAR MOTHERS
Mrs. Howard C. Boone of Kansa.
City, Mo., was elected president oi
the American War Mothers at their
convention in Washington. She will
serve for two years.
Indian* in Majority
Native Indians constitute the vast
majority of the population of Peru,
according to the census.",Roanoke Rapids herald. [volume]
['Chicago'],['Illinois'],19131105,sn83045487,"THE ADVENTURES OF CARRIE, THE COP
fiywrtwi '? A!iO
Kl-VI - Z07Vijftk I 0 THA -STATIC ) 4.
0 0
THE CUTE CHINESE
A favorite method of stealing rice
with Chinese coolies is to lean up
against a pile of sacks and stickatin
tube through the sacking, the, rice,
which Is dry, flowing naturally
through the tubes into the coolie's
clothing. Flour is- also stolen hi this
manner, and a common punishment
in this case is. to let theithief obtain""
a large quantity and Jtoen pour wate
Into his clothing, which makes mat
ters rather uncomfortable for the cul
prit. o o
WRONGED
""What's the matter, little boy?"" 1
""M-maw's gone an' drowned all the
kittens.""
""Dear, dear! Now that's top bad' i
""Yep, an' she prpromised boo-,
hothr-that Ijiud,doJt!'.' Everybody'
W ijj&4'afe
HHBBHBBHHaHBBHlB",The day book. [volume]
['Roanoke Rapids'],['North Carolina'],19381217,2017236974,"I —_
l^AROM DE EUSKO FACES ""THE ASSEMBLED
REPRESENTATIVES OF THE POWERS GATHERED
TO BID FDR HIS LATEST INCREDIBLE WAR-MACHINE....
-St .j—t -.■■■.■■■=-! s.: ' —
l_ - - -
—7- 7.. osje MONABMX 6AROM
BEFORE THE ACTUAL pClMCE BULA AMD
.■SSS&TSffiS 3Sf5S3£?i32
I [ sags:,«»
!
AJkEAA/WH/LE do., wu, disguised as a coolie,
ImJ makes H/S WAY THGOUOH THE atteaj
dajyts mho have come WITH the d/om/tacies
YEA
AMD
JACK
FOLLOW/
THE
GCDUP
TO A
c-reaT
OP EM
AREA
OM THE
EOOF
OF THE
BAEOM’S
LAB
ORATORY
W THIS, My FRlEWDS, IS '—-5
^ THE MI&HTV WEAPOM WHICH ]
^ IS DESTIMED TO REVOLUTlOU
J IZE MODER.KJ WARFARE. I
% SHALL MOW RELEASE A L
^
£ PARDOkl, BAROM-BUT VOU’RE
MOT ACTOALLV PLAMWIMO TO
DROP A REAL BOMB OtO SOME
■> S PEFEW5ELESS CITV/ f-^
ix—^——-~
HAVE WO FEAR, PRIWCE-L \
HAVE AIMED MV BOMB AT A
METROPOLIS SOME 2SO MILES
PlSTAUT, Ik) A TERRITORY WOT L
HERE REPRESEkJTED. VJE SHALL 1
THEM PICK UP THE MEWS OF r—J
j^THE. EXPLOSlOk) BY RADIO J
A COOLIE
PAISJTCe""
MEMOWMILE
LAZILY
SCALES THE
OUTB2. WALL
Akjo STOP! vou must A f the priucessA
THEAJ I HOT FIRE THIS BOMB.' SHOULD BE REMIHDED
THE WE ARE PREPARED / THE BIDDING HAS
BAEOAJS TO PAH AMY PRICE [ MOT VET STARTED?
HAAJO YOU ASL.OMLy... ] PROCEED, BAROAJ/
/S OAJ K-v
THE I
SWITCH..
~as, m —
HELP/
Ti&AL f
SEIZE
T THEM!) v
eof*. i«e«v at mSke""HSI",Roanoke Rapids herald. [volume]
['Washington'],['District of Columbia'],19360508,sn83045462,"lyiilimmyai
- fcvjjMMBWr
rSUMMER
GLOVES
^ *MsUt /^xcJ2t%m
IN COOLIE END PINLIN FABRICS
Van Raalta makes Summer gloves that are
cool and crisp and pleasant to wear even
on sticky days. The fabrics are the smart
new coolie and pinlin meshes—in delec
table colors. Mint, linen, blue, coral bloom,
lemon white and chamois.
(Main Floor. The Hecht Co.)
V
STOCKINGS _
hf ThuQa&Z
3 pairs $3.30
I in Mother's Day
# I gift box
Give her Van Raaltes because she likes nice
things. Sheerio—two-thread chiffons for eve
rting, Myth three-threads for afternoon and No.
629 seven-threads for active wear. Fashion
;4 right Summer colors.
(Main Floor, Hosiery Dept.)
& \ ' \
\ . 4
r
STRYPS
JAMETTES
A REVELATION IN SLEEPING COMFORT
Sleeping Briefs—gloriously cool pa- ^
jamas with short trousers and short
sleeves! In smooth, cool style fab
| . ric; in petal pink or blue; sizes 32 to
| 38. Other Jamettes at $4.
^ (Main floor. Lingerie Dept.) ,j|||
WHITE SHOES
6.50
White shoes add that final note of frosty coolness to your
. Summer day clothes. And white shoes made by Red Cross
are as cool as they look—because they’re made of fine,
light leathers with lightweight soles and plenty of cool
perforations. We insure perfect fit by using the fluoroscope.
Sizes 31/2 to 9, AAAA to C.
(Mem Floor. The Hecht Co.)
THE ROSETTE! “J
with perforated vamp and quarter.
PARFAIT:
BOBBIE BILLIE: £££
whit* llama with grosgrraln bow.
COBBIE PANCHO;
In white llama, perforations through
vamp and quarter leather heels.
(Main Floor. Women’s Shoe Dept>
mmmmmmm ■■■■■■■
1",Evening star. [volume]
['Washington'],['District of Columbia'],19451203,sn83045462,"•LIN# RACK STIP-IN,
In block, fuchsia, blut
5.00
WOMEN'S royon crepe
robe, print* on block or
copep boekgrounds; files
12 to 20.-10.95
I «■ ...... ...
\ ■
\
QUILTED COOLIE COAT \
in rayon sotin, white, tea- >
rose or blue prints; sizes
* 2-20.14.95
1
TYROLEAN SCUFF, in
black, red, yellow.4.00
CfOTnjalueA
Bring Glamour to Her Toes
Christmas footlights shine on
Oomphies with their charming
gaiety, distinctive glamour and
Heavenly comfort.
LANSBVRGH'S—Slippert—Second Floor
■
TEXTRON
« •
1
in Rayon satin and Crepe
""This is whot I've been dreoming of"" ... the feminine £
response to a Textron gift! Luxurious quilted beauties 1
splashed with luscious colors . . . hearthcoats with hos
tess-manners for entertaining . . . fancy free-fittinq
travel coats for week-ending. Precious to own—precious
to wear—and precious in flattery!
LANSBVRGH'S—Shop oj Leisure Fashions—Third Floor
* /jersy .
*1
RABBIT FUR SABOT, In
.4.50
i
$
... %
COOLIE COAT, in solid- '
color royon taffeta quilt,
oaua, melon, lime with '
Contrast trim; sues 12- *,
20 -12.95 !
f /'-H
4 T1
QUILTED ROBE, In rovon
satin, domty pastels,
white, blue, t e a r o s e
prints; sues I 2 to 20.
14.95
/
CLOSED BACK STIP-IN,
in blue, royal, red.4.00
«;
Have BRUNCH in LansburgWs
BALCONY TEAROOM
9:30 AM. to 11:00 AM.
Choice of
35c 45c 55 c
MENU
%
TYROLEAN STEP-IN, In
block, red.5.50",Evening star. [volume]
['Washington'],['District of Columbia'],19441210,sn83045462,"PRIVATE LIVES
f/m /s &neral Thmas
FORMER COMMANDER OF \
THE UN/TED STATES \
MAR/NE CORPS. \
/4rf one t/me he was \
wor/c/s cdanrrpton \
/on£-c/s stance riH/e shot:. 1
He captained Q 90/) \
~t/?e Hirs£ Marine -team \
-60 s/?ocH /r? a natiorai 1
'-/H/e o?a£cA . \
-
^General Holcomb's
Chinese vocabulary
includes ASOO words,
five -times that of the
l <svera£e Chinese coolie.
*IMP
If you dine at
tine home of
Author.
Marjorie
Kinnan
Rawlin&s
your repast may
include 'possum
pie, all<£nc>r-tail
steak and palm
tree hearts.
ff/THE THRONE*
/s tbeterm used
by Japanese
h referring to
HI ROM I TO.
77>e £mperor
-te/bs time by
a thner-doJ/er
u/r/dtr
u/at<J>.
tr I am yEAH.AND
f IVAN ANOTHER PUSH ^B
AWFULITCH, IN THE FACE FROM W
THE GREAT VOU TO ME WILL NET B
PROMOTER OF A SOCK ON THE B
THIS FIGHT OF |WV\V KISSER FROM M
l CHAMPIONS M ' N >> ME TO VOU
^^ '
————l., l v . —j+mmummmmam * i
I
n",Evening star. [volume]
['Washington'],['District of Columbia'],19490501,sn83045462,"HftNAHUTWAVIM
l«Krt M»—«■* ilkf.
m4 «*k*« wkwii—i Iw
*•*■»*<*» fM kf
dM Inwil
Witt AID
TIARSFMMATIDIt
r»■>««< /»r CcudfMM
liwrtk uwM h«i kamM
ka** m4m H—f
PmmiittUt tm Ttmt
lm§, Mmt OrtMtog.
*1 ""-l_ n -i- <•— J.*
612 13rt» St N.W.
M»t Qr*n Mu^tU-MA. WI4
IMCMlA
0OMIMO HUM
AM IVfRy
NOUMNM0 UM!
means:
t. Energy
2. Sweetness
* more rooa navor
4. Cleanliness
5. Full Value
SO BK SURE ^
. YOUR SUGAR IS )
it s 100% Pun CANE Sugar J
East and West meet in on evening dress by Yvette.
Fashioned in rich Chinese brocade, it hgs medgllions gf
red, white and blue on a gold-ond-white background. The
dress has a ""slipping shoulder line.""
Side-tilt hot of white straw, by Elies. It is trimmed
with lilies of the volley and green ribbon.
WASHINGTON'S
OWN DESIGNERS
Bright green silk accents a coolie straw hat for a
Washington summer, by Mme. Comille Chautemps.
""Lote-day"" costume by Philip Robertson. It has a
gladiola applique design on the panel, skirt and shoulder
as well as on the lace-trimmed hat.",Evening star. [volume]
['Stillwater'],['Minnesota'],19201118,sn90060762,"*■ ■■ ',:■>"" - .;'‘*v-- . - • ’
OUR MOTTO—""IT IS NEVER TOO LATE TO MEND”
Established 1887
THE EARNING POWERS OF
AN AMERICAN DOLLAR
THE monetary system of the
United States, at the present
time, is regarded to be the most
complete system, of any monetary
system, in existence, of any nation in
the world today, and should be kept
intact, or free from further modifica
tions, tampering, or interfering with
it in the least, especially at this time,
when the monetary affairs through
out the world are looked upon as be
ing in a most critical condition in
this grave hour of readjustment.
To modify, or interfer with, the
present monetary system would only
lead to weaken it instead of strength
ening it. And it would further cause
an alarm to be spread throughout the
world, that the United States was
not maintaining her gold and silver
standards. The consequences would
be, that a suspicion would arise, be
fore the public, throughout the world,
followed by a doubt, and they would
then assume that our position is weak,
and in danger of going on a paper
basis. The final results be,
that we would be in the same posi
tion as some of our foreign states,
such as Russia.
* <4*.
Public sentiment throughout the
world, would as it always has, have
its effects, and bearings, to bring about
either an inflation or a deflation of
our monetary system, and a deflation
would follow. It would bring our
gold and silver standards below its
present standar4 or to such a point
either below, above, or at a normal
value, depending entirely upon at
what point it had reached when the
great public criticism had ceased.
Through the enactment of the
Federal Reserve law, and the estab
lishment of the Federal Reserve’ Bank
system, the United States is regarded
as one of the greatest money powers
of the world today, and the leading
financier. After carrying on a bur
den of four years of war with its
present monetary system, it should be
given a very careful consideration be
fore our monetary laws should be
modified or amended. Inflation of
money, or credits, came into existence
when war was declared, as a great de
mand of almost every commodity
came forth, and as usually when therfe
is a demand for an article, whether it
be money or merchandise, prices be
gan to rise, and kept on ascending un
til it seemed that the sky was the
limit. A deflation will follow in due
course of time, when the American
public awakens to the fact, that there
is but one remedy to administer to
check it, and that is to produce more
and consume less and until such mea
sures have been taken by every man,
woman, and child, we will feel the
effects of inflation in its various forms.
•V
f
V
t
The real earning powers of a dol
lar, has yet to be determined, and un
doubtedly will remain unsolved as
long as the world stands.
There would be many advantages
to have and hold a full knowledge of
i l
By Mr. C. A. M.
Stillwater, Minnesota, Thursday, November 18, 1920.
the real value of the American dollar,
also the earning powers contained in
it. In order to bring forth the earn
ing capacity of the dollar, it has to be
put to work in some form, oiKother,
and we should at all times bear in
mind, when we are exerting our ut
most knowledge to have the dollar re
turn the largest possible yield, that
without faith in it, we would fall to
destruction, so bear in mind that our
dollar is as good as gold.
The American dollar is the most
important, or the chief factor, when
financial matters, large or small, na
tional or international arise, there
fore, the world today looks forward
to the United States, with its amaz
ing wealth and resources, as the lead
ing nation of the world in that re
spect. Resources of the American
banks at the end of the fiscal year,
June 30th, last, exceeded the com
bined bank assets of all the other lead
ing nations of the world, according to
a preliminary report issued by the
Comptroller of Currency. The total
was $53,079,108,000. There is no
basis for commodity prices at the
present time, and the same is true of
wages or labor costs, so Jhere again we
find that the earning power of the?
dollar is based upon the price received
of the commodity represented. Money
in its countless forms -varies so, in k?
earning capacity that ..the earning
power of money depends entirely upon
how it is set to work. Numerous ex
amples could be cited, therefore we
can clearly understand that a stan
dard of percentage or profit from dif
ferent kinds of investments is impos
sible.
Deflation of money in the foreign
countries has been abused to such an
extent that they are trying every con
ceivable idea to bring their moneys
back to a normal rate of exchange.
In order for them to establish normal
rates, or stability, they must increase
fheir exports to such an extent that
they will have a trade balance in their
favor, for until such time their rate
of exchange upon our markets will be
at low levels. Taking into considera
tion the earning power of money of
the several countries, at the present
time, the American dollar leads them
all when it comes to determining the
compositive power of>money.
Inflation of money may also be
brought into existence through cur
tailment of credits. This subject has
been the issue for many discussions of
the season and has been widely dis
cussed and investigated by state and
federal authorities, but according to
reports received from the Federal Re
serve banks throughout the country
by the advisory council of the Federal
Reserve Board, at Washington, D.C.,
most reports are false and without
foundation. The twelve Federal Re
serve banks throughout the country
absolutely stand for the promotion of
alj essential industries of whatever na
ture they may be.
Our national government stands
back of the dollar. We have the
Federal Reserve system and from the
co-operation of the Federal Reserve
banks, through to the thousands of
-t* ■
its member banks we can see that the
good old American dollar passes
through, and reaches to, the great
American public where each and
every individual receives the benefit
of the most perfect monetary system
in use today.
Note': Read before the Pierian Chau
tauqua Circle, November 7, 1920, in be
half of Class A.
A Strange Royal Gift
In 1834 the Emperor of Morocco,
being in a repentant and conciliatory
mood for having committed many
misdeeds in his past, decided to atone
for some of them by presenting to the
United States certain tokens of his af
fection and good will. Accordingly,
to the American consul at Tangier he
gave two horses and a lion with the
suggestion that they be forwarded to
the President at the city of Washing
ton.
With the “greatest pleasure” the
worried consul accepted the horses and
the lion. He was too much a diplo
mat to offend the emperor by refusing
the gift; but he really did not feel
equal to the occasion and assuredly
did not relish the job of having them
safely transported across the-ocean.
No cables connected him with his
homeland, for the device for sending
messages through water Had not then
been invented.
When the horses and the lion ar
rived at Washington, President An
drew Jackson and the members of his
cabinet were a bit disconcerted. Then
somebody had a happy thought that
resulted in the matter being called to
the attention of Congress. Strange to
say, the eminent legislators displayed
no disposition to hesitate; for early in
February, 1835, they
“Resolved, By the Senate and
House of Representatives in Congress
assembled, That the President of the
United States be, and he is hereby,
authorized to cause the two horses re
ceived as a present by the consul of
the United States at Tangier, from
the Emperor of Morocco, to be sold in
Washington City, by public auction,
on the last Saturday of February,
1835, and to cause the proceeds there
of to be placed in the Treasury of the
United States; and that the lion re
ceived in like manner, be presented to
such suitable institution, person or
persons, as the President of the United
States may designate.” The resolu
tion was approved February 13, 1835.
Then the Secretary of State indited
a letter to the Emperor of Morocco
expressing the great pleasure of the
American Government and President
Jackson at receiving such a truly mag
nificent gift.
The deluded old Emperor of Mo
rocco probably never knew that th«
horses were sold at public auction, or
that the lion lived thereafter in an
iron-barred room of a menagerie.
— Ex.
South of the equator, Buenos Aires,
Rio de Janeiro and Sydney are the
three largest cities in point of popu
lation.—Ex.
■nBMMMMflna
Vol. XXXIV: No. 16
CHINESE COOLIES LIVE IN
AN ABYSS OF MISERY
Selected
ALL nations have men who sell
their strength—who have noth
ing else to sell whereby to make
a living except physical strength,
which can be turned to account in un
skilled labor—but China is the one
nation above all others the majority
of whose men folks have no other way
of making a living.
They are the coolies, whose only
friends appear to be the Americans
who are sent there by churches in the
United States.
The word “coolie” means “the man
who sells his strength.” The coolies
are found in many classes of labor,
but the ricksha coolie is the most pic
turesque to the Occidental mind and
the one that lingers the longest in the
memory of any one who has visited
China or Japan. The ricksha is not
indigenous to the Celestial republic,
but was imported from Japan about
half a century ago.
Episcopal Church workers estimate
that the total number of coolies in
Shanghai, including all who “sell their
strength” in physical labor of all kinds
is about 400,000, or two-thirds of the
city V population.
The life of the ricksha coolie is
brief—from three to five years, ten
at most. Heart disease, induced by
their great physical exertion, and tu*
berculosis, which is China’s “yellow
plague,” carry off the majority.
Most of those taken to the mission
hospitals for treatment are in a state
of collapse, due to insufficient food,
bad living conditions and the intense
physical strain caused by running.
A ricksha coolie earns, on an aver
age, three or four cents a day, or
about as much as an American work
man would earn in five minutes or
less. Upon this pay the coolie must
support himself and his family in a
town known throughout China for
its high cost of living.
Those who are married live in
little colonies in the city’s outskirts.
They pay from 15 to 20 cents a
month rent for the small straw or
bamboo huts in which they live.
In winter the entire family crawls
into the one little room and huddles
about the charcoal fire where the rice
is cooking in order to keep warm.
Many of the babies contract eye dis
ease from the fire and tobacco smoke
which later ends in complete blind
ness. The unmarried ricksha coolie
sleeps whereever he can find shelter —
most often in the cheap tea houses
where 40 or 50 stretch on the floor of
one room.
It is among the coolie class that the
mission workers are now laboring with
special zeal. The coolies at first could
not understand why anybody should
want to do anything for them, accus
tomed as they are to centuries of
neglect and abuse, but after the first
mission was established especially for
the coolie class they eagerly received
the spiritual and bodily aid offered
them.— Ex.
<*■",The mirror.
['New York'],['New York'],19171202,sn83030431,"THE SUN, SUNDAY, DECEMBER 2, 1917
Pfy rr w
eM fY Vthi.
The German fleet won't come out and give the British a fight, so our ally's sailors have to kee
up their marksmanship standard by continual target practice. In this picture a 280 pound projectil
from a battleship three miles away has just hit near the target, which a cruiser is towing
There are feats of strength and feats of strength, but few better examples have been found than
, of an Arab coolie carrying a good sized boat on his sholders through the streets of Bagdad,
while British soldiers and natives look on in wonderment. It's easv for the coolie.
Photos, copyright. L nilt rwcKid & nrtfru'ini.
!T::v:,v . . - : . ""
The task of the British in getting heavy artillery across the desert sands of Palestine for the final attack on Jerusalem is well-nigh superhuman. The wheels of the gun carriages sink in so deep that it has been found
r- . ... . . 1 . . 1. . . 1 r-k . ,, 1 . 1 . 1 ri - - - 1 - ah 1 1 ...
necessary to nx up a caterpillar arrangement on tne tires, as inis picture snows, ucspuc an oosiacics tnc raiesiinc army unucr uen, iiicnoy nas maae remarxable progress.
s' V 1: 'sfcf British troops advancing . American soldiers load- jT ytBlfay'
fllHbL T "" across newly won ground B: ing trucks at a supply base LC: TBiPjPB',
RIHbk . C7 on thc wcstern front. Am- iB somewhere in France with Ar
y ,Hl - V munition wagons go for- ill provisions for the men at A JV 'WflSW'-IKJtF'-'t vS.
J I
I ,1111
Lady Clonmel, who is considered one of the most beautiful peer
esses in England, has done yeoman service in raising funds for the
reuei ox war sunerers ana in personally administering to tneir wants
A familiar scene in an unfamiliar aetinr a a : .
in a camp near the front in France is seen sounding reveille in front
of an old religious monument. In the background is an American
tent. .
Mrs. William B. Leeds of New York has leased the Kenwood
estate in England, which was formerly the residence of the Grand
Duke Michael of Russia. Mrs. Leeds has been aotive in war work.",The sun. [volume]
